id,timestamp_ns,received_at,symbol,buy_exchange,sell_exchange,buy_vwap,sell_vwap,target_volume,gross_spread,buy_fee,sell_fee,gas_fee,net_profit,net_profit_pct,execution_id,executed,execution_latency_us,status
1000,1786474479716837300,2026-08-11T18:54:39.716858+00:00,BTC/USDT,kraken,binance,63052.58000000,73819.17000000,0.01,105.28834122,1.63936708,0.73819170,2.50,102.78834122,0.16259729,ARB-20260811185439716,1,11100,FILLED
999,1786474479702396200,2026-08-11T18:54:39.702417+00:00,BTC/USDT,kraken,binance,62575.93000000,73640.18000000,0.01,108.27912402,1.62697418,0.73640180,2.50,105.77912402,0.16860287,ARB-20260811185439702,1,10126,FILLED
998,1786474479686217600,2026-08-11T18:54:39.686239+00:00,BTC/USDT,kraken,binance,62575.93000000,73640.18000000,0.01,108.27912402,1.62697418,0.73640180,2.50,105.77912402,0.16860287,ARB-20260811185439686,1,10926,FILLED
997,1786474479671001100,2026-08-11T18:54:39.671023+00:00,BTC/USDT,kraken,binance,62575.93000000,73640.18000000,0.01,108.27912402,1.62697418,0.73640180,2.50,105.77912402,0.16860287,ARB-20260811185439670,1,10202,FILLED
996,1786474479655223300,2026-08-11T18:54:39.655249+00:00,BTC/USDT,kraken,binance,62575.93000000,73640.18000000,0.01,108.27912402,1.62697418,0.73640180,2.50,105.77912402,0.16860287,ARB-20260811185439655,1,10571,FILLED
995,1786474479638912300,2026-08-11T18:54:39.638934+00:00,BTC/USDT,kraken,binance,62575.93000000,73640.18000000,0.01,108.27912402,1.62697418,0.73640180,2.50,105.77912402,0.16860287,ARB-20260811185439638,1,11070,FILLED
994,1786474479622751100,2026-08-11T18:54:39.622775+00:00,BTC/USDT,kraken,binance,62575.93000000,73640.18000000,0.01,108.27912402,1.62697418,0.73640180,2.50,105.77912402,0.16860287,ARB-20260811185439622,1,11164,FILLED
993,1786474479611235800,2026-08-11T18:54:39.611256+00:00,BTC/USDT,kraken,binance,62575.93000000,73640.18000000,0.01,108.27912402,1.62697418,0.73640180,2.50,105.77912402,0.16860287,ARB-20260811185439611,1,6780,FILLED
992,1786474479607373700,2026-08-11T18:54:39.607395+00:00,BTC/USDT,kraken,binance,62088.32000000,73320.64000000,0.01,109.97569728,1.61429632,0.73320640,2.50,107.47569728,0.17265242,ARB-20260811185439607,1,1276,FILLED
991,1786474479591812400,2026-08-11T18:54:39.591833+00:00,BTC/USDT,kraken,binance,62088.32000000,73320.64000000,0.01,109.97569728,1.61429632,0.73320640,2.50,107.47569728,0.17265242,ARB-20260811185439591,1,10275,FILLED
990,1786474479575703400,2026-08-11T18:54:39.575726+00:00,BTC/USDT,kraken,binance,62088.32000000,73320.64000000,0.01,109.97569728,1.61429632,0.73320640,2.50,107.47569728,0.17265242,ARB-20260811185439575,1,11059,FILLED
989,1786474479559936900,2026-08-11T18:54:39.559958+00:00,BTC/USDT,kraken,binance,62088.32000000,73320.64000000,0.01,109.97569728,1.61429632,0.73320640,2.50,107.47569728,0.17265242,ARB-20260811185439559,1,10782,FILLED
988,1786474479544807900,2026-08-11T18:54:39.544830+00:00,BTC/USDT,kraken,binance,62088.32000000,73320.64000000,0.01,109.97569728,1.61429632,0.73320640,2.50,107.47569728,0.17265242,ARB-20260811185439544,1,10046,FILLED
987,1786474479529532900,2026-08-11T18:54:39.529555+00:00,BTC/USDT,kraken,binance,62088.32000000,73320.64000000,0.01,109.97569728,1.61429632,0.73320640,2.50,107.47569728,0.17265242,ARB-20260811185439529,1,10088,FILLED
986,1786474479513297100,2026-08-11T18:54:39.513318+00:00,BTC/USDT,kraken,binance,62088.32000000,73320.64000000,0.01,109.97569728,1.61429632,0.73320640,2.50,107.47569728,0.17265242,ARB-20260811185439513,1,11077,FILLED
985,1786474479497323200,2026-08-11T18:54:39.497344+00:00,BTC/USDT,kraken,binance,61490.98000000,73248.69000000,0.01,115.24584762,1.59876548,0.73248690,2.50,112.74584762,0.18287799,ARB-20260811185439497,1,11640,FILLED
984,1786474479482723900,2026-08-11T18:54:39.482745+00:00,BTC/USDT,kraken,binance,61490.98000000,73248.69000000,0.01,115.24584762,1.59876548,0.73248690,2.50,112.74584762,0.18287799,ARB-20260811185439482,1,10321,FILLED
983,1786474479467450500,2026-08-11T18:54:39.467470+00:00,BTC/USDT,kraken,binance,61490.98000000,73248.69000000,0.01,115.24584762,1.59876548,0.73248690,2.50,112.74584762,0.18287799,ARB-20260811185439467,1,10445,FILLED
982,1786474479452230600,2026-08-11T18:54:39.452251+00:00,BTC/USDT,kraken,binance,61490.98000000,73248.69000000,0.01,115.24584762,1.59876548,0.73248690,2.50,112.74584762,0.18287799,ARB-20260811185439452,1,10339,FILLED
981,1786474479437168500,2026-08-11T18:54:39.437188+00:00,BTC/USDT,kraken,binance,61490.98000000,73248.69000000,0.01,115.24584762,1.59876548,0.73248690,2.50,112.74584762,0.18287799,ARB-20260811185439437,1,10296,FILLED
980,1786474479421214100,2026-08-11T18:54:39.421234+00:00,BTC/USDT,kraken,binance,61490.98000000,73248.69000000,0.01,115.24584762,1.59876548,0.73248690,2.50,112.74584762,0.18287799,ARB-20260811185439421,1,10982,FILLED
979,1786474479406146700,2026-08-11T18:54:39.406166+00:00,BTC/USDT,kraken,binance,61490.98000000,73248.69000000,0.01,115.24584762,1.59876548,0.73248690,2.50,112.74584762,0.18287799,ARB-20260811185439406,1,10032,FILLED
978,1786474479390968100,2026-08-11T18:54:39.390988+00:00,BTC/USDT,kraken,binance,61679.17000000,73190.45000000,0.01,112.77723708,1.60365842,0.73190450,2.50,110.27723708,0.17832805,ARB-20260811185439390,1,10730,FILLED
977,1786474479375185400,2026-08-11T18:54:39.375205+00:00,BTC/USDT,kraken,binance,61679.17000000,73190.45000000,0.01,112.77723708,1.60365842,0.73190450,2.50,110.27723708,0.17832805,ARB-20260811185439375,1,10556,FILLED
976,1786474479359456000,2026-08-11T18:54:39.359475+00:00,BTC/USDT,kraken,binance,61679.17000000,73190.45000000,0.01,112.77723708,1.60365842,0.73190450,2.50,110.27723708,0.17832805,ARB-20260811185439359,1,10223,FILLED
975,1786474479344625800,2026-08-11T18:54:39.344650+00:00,BTC/USDT,kraken,binance,61679.17000000,73190.45000000,0.01,112.77723708,1.60365842,0.73190450,2.50,110.27723708,0.17832805,ARB-20260811185439344,1,9855,FILLED
974,1786474479328741800,2026-08-11T18:54:39.328775+00:00,BTC/USDT,kraken,binance,61679.17000000,73190.45000000,0.01,112.77723708,1.60365842,0.73190450,2.50,110.27723708,0.17832805,ARB-20260811185439328,1,10555,FILLED
973,1786474479313143700,2026-08-11T18:54:39.313165+00:00,BTC/USDT,kraken,binance,61679.17000000,73190.45000000,0.01,112.77723708,1.60365842,0.73190450,2.50,110.27723708,0.17832805,ARB-20260811185439313,1,10088,FILLED
972,1786474479298674700,2026-08-11T18:54:39.298693+00:00,BTC/USDT,kraken,binance,61679.17000000,73190.45000000,0.01,112.77723708,1.60365842,0.73190450,2.50,110.27723708,0.17832805,ARB-20260811185439298,1,9453,FILLED
971,1786474479280835700,2026-08-11T18:54:39.280857+00:00,BTC/USDT,kraken,binance,61851.93000000,72791.79000000,0.01,107.06253192,1.60815018,0.72791790,2.50,104.56253192,0.16861458,ARB-20260811185439280,1,16157,FILLED
970,1786474479265988100,2026-08-11T18:54:39.266008+00:00,BTC/USDT,kraken,binance,61851.93000000,72791.79000000,0.01,107.06253192,1.60815018,0.72791790,2.50,104.56253192,0.16861458,ARB-20260811185439265,1,10078,FILLED
969,1786474479250120300,2026-08-11T18:54:39.250141+00:00,BTC/USDT,kraken,binance,61851.93000000,72791.79000000,0.01,107.06253192,1.60815018,0.72791790,2.50,104.56253192,0.16861458,ARB-20260811185439250,1,10806,FILLED
968,1786474479234943800,2026-08-11T18:54:39.234965+00:00,BTC/USDT,kraken,binance,61851.93000000,72791.79000000,0.01,107.06253192,1.60815018,0.72791790,2.50,104.56253192,0.16861458,ARB-20260811185439234,1,10200,FILLED
967,1786474479218851500,2026-08-11T18:54:39.218872+00:00,BTC/USDT,kraken,binance,61851.93000000,72791.79000000,0.01,107.06253192,1.60815018,0.72791790,2.50,104.56253192,0.16861458,ARB-20260811185439218,1,11102,FILLED
966,1786474479203796800,2026-08-11T18:54:39.203818+00:00,BTC/USDT,kraken,binance,61851.93000000,72791.79000000,0.01,107.06253192,1.60815018,0.72791790,2.50,104.56253192,0.16861458,ARB-20260811185439203,1,10096,FILLED
965,1786474479188641200,2026-08-11T18:54:39.188661+00:00,BTC/USDT,kraken,binance,61851.93000000,72791.79000000,0.01,107.06253192,1.60815018,0.72791790,2.50,104.56253192,0.16861458,ARB-20260811185439188,1,10142,FILLED
964,1786474479172147700,2026-08-11T18:54:39.172167+00:00,BTC/USDT,kraken,binance,62100.10000000,72588.57000000,0.01,102.54421170,1.61460260,0.72588570,2.50,100.04421170,0.16068375,ARB-20260811185439172,1,12203,FILLED
963,1786474479159227600,2026-08-11T18:54:39.159245+00:00,BTC/USDT,kraken,binance,62100.10000000,72588.57000000,0.01,102.54421170,1.61460260,0.72588570,2.50,100.04421170,0.16068375,ARB-20260811185439159,1,8127,FILLED
